Local time,Open,High,Low,Close,Volume
02.01.2019 14:00:00.000 GMT+0700,109.256,109.278,109.181,109.252,5306.530000000001
02.01.2019 14:30:00.000 GMT+0700,109.252,109.346,109.240,109.308,4566.13
02.01.2019 15:00:00.000 GMT+0700,109.308,109.323,109.101,109.110,9384.51
02.01.2019 15:30:00.000 GMT+0700,109.110,109.113,108.902,108.950,11089.749999999996
02.01.2019 16:00:00.000 GMT+0700,108.949,108.972,108.707,108.846,9474.220000000001
02.01.2019 16:30:00.000 GMT+0700,108.845,108.977,108.790,108.941,6709.549999999999
02.01.2019 17:00:00.000 GMT+0700,108.942,109.001,108.888,108.926,7126.11
02.01.2019 17:30:00.000 GMT+0700,108.924,109.102,108.879,109.045,6613.469999999999
02.01.2019 18:00:00.000 GMT+0700,109.045,109.176,109.043,109.133,6825.3099999999995
02.01.2019 18:30:00.000 GMT+0700,109.132,109.140,109.045,109.107,6033.920000000001
02.01.2019 19:00:00.000 GMT+0700,109.104,109.285,109.101,109.268,6280.470000000001
02.01.2019 19:30:00.000 GMT+0700,109.267,109.268,109.132,109.142,5923.54
02.01.2019 20:00:00.000 GMT+0700,109.141,109.166,108.820,108.932,7547.9400000000005
02.01.2019 20:30:00.000 GMT+0700,108.931,109.194,108.930,109.188,8265.09
02.01.2019 21:00:00.000 GMT+0700,109.187,109.282,109.175,109.261,6867.17
02.01.2019 21:30:00.000 GMT+0700,109.261,109.359,109.220,109.337,10711.579999999998
02.01.2019 22:00:00.000 GMT+0700,109.337,109.380,109.266,109.348,10325.02
02.01.2019 22:30:00.000 GMT+0700,109.347,109.392,109.266,109.283,6731.510000000001
02.01.2019 23:00:00.000 GMT+0700,109.282,109.349,109.265,109.284,5660.339999999999
02.01.2019 23:30:00.000 GMT+0700,109.283,109.356,109.213,109.219,6070.719999999999
03.01.2019 00:00:00.000 GMT+0700,109.220,109.352,109.219,109.263,5901.999999999998
03.01.2019 00:30:00.000 GMT+0700,109.263,109.464,109.253,109.442,5809.12
03.01.2019 01:00:00.000 GMT+0700,109.442,109.455,109.379,109.437,3821.4199999999996
03.01.2019 01:30:00.000 GMT+0700,109.437,109.449,109.403,109.448,3446.5499999999993
03.01.2019 02:00:00.000 GMT+0700,109.449,109.449,109.349,109.360,3837.1800000000007
03.01.2019 02:30:00.000 GMT+0700,109.364,109.390,109.181,109.196,3899.88
03.01.2019 03:00:00.000 GMT+0700,109.196,109.201,109.037,109.122,7141.48
03.01.2019 03:30:00.000 GMT+0700,109.121,109.144,109.073,109.081,4345.2699999999995
03.01.2019 04:00:00.000 GMT+0700,109.082,109.121,109.079,109.091,1209.2
03.01.2019 04:30:00.000 GMT+0700,109.091,109.103,108.867,108.874,3483.1700000000005
03.01.2019 05:00:00.000 GMT+0700,108.872,108.898,108.652,108.660,3188.16
03.01.2019 05:30:00.000 GMT+0700,108.660,108.662,104.736,106.700,9310.520000000002
03.01.2019 06:00:00.000 GMT+0700,106.700,107.582,106.498,107.582,10692.520000000002
03.01.2019 06:30:00.000 GMT+0700,107.586,107.871,107.338,107.427,9647.809999999998
03.01.2019 07:00:00.000 GMT+0700,107.433,107.854,107.427,107.674,5791.790000000002
03.01.2019 07:30:00.000 GMT+0700,107.674,107.715,107.450,107.642,5023
03.01.2019 08:00:00.000 GMT+0700,107.643,107.802,107.561,107.564,7539.469999999999
03.01.2019 08:30:00.000 GMT+0700,107.564,107.585,107.431,107.535,6616.169999999999
03.01.2019 09:00:00.000 GMT+0700,107.534,107.549,107.354,107.388,4483.360000000001
03.01.2019 09:30:00.000 GMT+0700,107.389,107.403,107.073,107.134,6010.629999999999
03.01.2019 10:00:00.000 GMT+0700,107.134,107.195,107.022,107.152,5105.990000000001
03.01.2019 10:30:00.000 GMT+0700,107.151,107.204,107.121,107.156,2922.1599999999994
03.01.2019 11:00:00.000 GMT+0700,107.157,107.226,107.151,107.213,2817.9
03.01.2019 11:30:00.000 GMT+0700,107.215,107.284,107.152,107.152,3602.3799999999997
03.01.2019 12:00:00.000 GMT+0700,107.153,107.161,106.746,106.826,5695.32
03.01.2019 12:30:00.000 GMT+0700,106.826,106.978,106.825,106.967,4215.04
03.01.2019 13:00:00.000 GMT+0700,106.968,106.976,106.833,106.885,4200.41
03.01.2019 13:30:00.000 GMT+0700,106.882,106.905,106.797,106.849,5843.339999999999
03.01.2019 14:00:00.000 GMT+0700,106.849,107.445,106.849,107.445,11464.91
03.01.2019 14:30:00.000 GMT+0700,107.441,107.672,107.349,107.551,12441.199999999997
03.01.2019 15:00:00.000 GMT+0700,107.552,107.848,107.428,107.795,10141.739999999998
03.01.2019 15:30:00.000 GMT+0700,107.794,107.958,107.618,107.643,8424.27
03.01.2019 16:00:00.000 GMT+0700,107.644,107.846,107.644,107.790,5300.03
03.01.2019 16:30:00.000 GMT+0700,107.789,107.789,107.657,107.657,5041.220000000001
03.01.2019 17:00:00.000 GMT+0700,107.658,107.683,107.505,107.536,5536.1900000000005
03.01.2019 17:30:00.000 GMT+0700,107.535,107.669,107.527,107.639,4003.5600000000004
03.01.2019 18:00:00.000 GMT+0700,107.639,107.679,107.545,107.557,4675.249999999999
03.01.2019 18:30:00.000 GMT+0700,107.557,107.618,107.513,107.549,3356.29
03.01.2019 19:00:00.000 GMT+0700,107.550,107.665,107.523,107.643,3410.35
03.01.2019 19:30:00.000 GMT+0700,107.642,107.713,107.585,107.662,3232.66
03.01.2019 20:00:00.000 GMT+0700,107.660,107.999,107.594,107.866,8868.340000000002
03.01.2019 20:30:00.000 GMT+0700,107.865,107.865,107.696,107.747,9461.29
03.01.2019 21:00:00.000 GMT+0700,107.746,107.966,107.702,107.876,7166.98
03.01.2019 21:30:00.000 GMT+0700,107.880,107.917,107.717,107.746,11221.17
03.01.2019 22:00:00.000 GMT+0700,107.746,107.942,107.104,107.811,17100.96
03.01.2019 22:30:00.000 GMT+0700,107.808,107.808,107.520,107.541,14401.12
03.01.2019 23:00:00.000 GMT+0700,107.546,107.756,107.495,107.586,10981.739999999998
03.01.2019 23:30:00.000 GMT+0700,107.586,108.304,107.573,108.095,13502.59
04.01.2019 00:00:00.000 GMT+0700,108.091,108.109,107.892,107.915,10979.909999999998
04.01.2019 00:30:00.000 GMT+0700,107.915,108.066,107.825,108.024,8842.19
04.01.2019 01:00:00.000 GMT+0700,108.024,108.028,107.742,107.868,9117.629999999997
04.01.2019 01:30:00.000 GMT+0700,107.865,107.907,107.756,107.839,7447.33
04.01.2019 02:00:00.000 GMT+0700,107.838,107.869,107.800,107.868,5533.74
04.01.2019 02:30:00.000 GMT+0700,107.868,107.891,107.724,107.733,5872.0199999999995
04.01.2019 03:00:00.000 GMT+0700,107.733,107.776,107.393,107.486,8851.149999999998
04.01.2019 03:30:00.000 GMT+0700,107.485,107.650,107.469,107.522,6760.909999999998
04.01.2019 04:00:00.000 GMT+0700,107.521,107.596,107.465,107.556,2091.0499999999997
04.01.2019 04:30:00.000 GMT+0700,107.556,107.673,107.526,107.646,2098.8700000000003
04.01.2019 05:00:00.000 GMT+0700,107.646,107.706,107.644,107.652,1451.0400000000002
04.01.2019 05:30:00.000 GMT+0700,107.651,107.680,107.631,107.673,5598.349999999999
04.01.2019 06:00:00.000 GMT+0700,107.672,107.969,107.641,107.888,6843.010000000001
04.01.2019 06:30:00.000 GMT+0700,107.888,107.913,107.804,107.849,4250.5
04.01.2019 07:00:00.000 GMT+0700,107.848,107.934,107.590,107.707,9958.81
04.01.2019 07:30:00.000 GMT+0700,107.707,107.825,107.514,107.518,7944.97
04.01.2019 08:00:00.000 GMT+0700,107.518,107.674,107.518,107.553,7446.080000000002
