Date,Timestamp,Open,High,Low,Close,Volume
2019-08-01,00:00:00,1.61742,1.61848,1.61498,1.61568,10419.3299748898
2019-08-01,01:00:00,1.61568,1.61588,1.61249,1.61328,8543.64998233318
2019-08-01,02:00:00,1.61327,1.61331,1.61091,1.61228,5407.46998977661
2019-08-01,03:00:00,1.61226,1.613,1.61205,1.61281,3780.62998998165
2019-08-01,04:00:00,1.61281,1.61371,1.61252,1.61365,2496.51999485493
2019-08-01,05:00:00,1.61365,1.61382,1.61304,1.61368,3521.39999485016
2019-08-01,06:00:00,1.61368,1.61374,1.61276,1.61312,7936.74998223782
2019-08-01,07:00:00,1.61314,1.6133,1.61185,1.61199,9066.36996555328
2019-08-01,08:00:00,1.61201,1.61312,1.61154,1.61208,7971.21997201443
2019-08-01,09:00:00,1.61208,1.61239,1.61082,1.61105,7686.81996631622
2019-08-01,10:00:00,1.61109,1.61185,1.6107,1.61171,7475.73997926712
2019-08-01,11:00:00,1.61174,1.61352,1.61123,1.61328,8946.42996883392
2019-08-01,12:00:00,1.6133,1.61487,1.61275,1.61361,10455.5899560452
2019-08-01,13:00:00,1.61364,1.61581,1.61355,1.61477,12532.3699457645
2019-08-01,14:00:00,1.61475,1.61511,1.61299,1.61442,16945.6999307871
2019-08-01,15:00:00,1.61442,1.61462,1.61224,1.61296,10506.6799625158
2019-08-01,16:00:00,1.61296,1.61349,1.61191,1.61204,5841.21998345852
2019-08-01,17:00:00,1.61203,1.62667,1.61137,1.62503,23275.489957571
2019-08-01,18:00:00,1.62501,1.63111,1.62453,1.6291,21938.3899717331
2019-08-01,19:00:00,1.62912,1.63138,1.62792,1.63047,16055.3999613523
2019-08-01,20:00:00,1.63046,1.63051,1.62887,1.6293,5185.55999183655
2019-08-01,21:00:00,1.62919,1.63063,1.62791,1.63054,2776.80000126362
2019-08-01,22:00:00,1.63047,1.63119,1.62825,1.62847,2424.73998814821
2019-08-01,23:00:00,1.62846,1.62908,1.62765,1.62884,3460.76999294758
2019-08-02,00:00:00,1.62884,1.62981,1.62786,1.62903,10029.8299753666
2019-08-02,01:00:00,1.62903,1.63098,1.62702,1.6271,12733.1499632597
2019-08-02,02:00:00,1.6271,1.62813,1.62594,1.62665,11316.6699732542
2019-08-02,03:00:00,1.62668,1.62761,1.62623,1.62708,6072.76998007298
2019-08-02,04:00:00,1.62707,1.6277,1.62604,1.62749,5223.04998457432
2019-08-02,05:00:00,1.62749,1.62773,1.6256,1.62656,5024.11998450756
2019-08-02,06:00:00,1.62654,1.6278,1.62603,1.62667,9243.35997104645
2019-08-02,07:00:00,1.62668,1.63321,1.62664,1.63316,19183.8299407959
2019-08-02,08:00:00,1.63315,1.63526,1.63169,1.63427,13087.1599502563
2019-08-02,09:00:00,1.63426,1.63522,1.63356,1.63512,9213.00998032093
2019-08-02,10:00:00,1.63514,1.63521,1.63248,1.63405,9063.45997607708
2019-08-02,11:00:00,1.63405,1.63569,1.63392,1.63531,7708.39997076988
2019-08-02,12:00:00,1.63535,1.63917,1.63428,1.6344,22343.3799475431
2019-08-02,13:00:00,1.63442,1.63717,1.63188,1.63337,23009.5999370813
2019-08-02,14:00:00,1.63336,1.63686,1.63299,1.63389,16473.3199490309
2019-08-02,15:00:00,1.63388,1.63504,1.6326,1.63295,12380.8799506426
2019-08-02,16:00:00,1.63293,1.6338,1.63221,1.6338,7224.19997751713
2019-08-02,17:00:00,1.63379,1.63521,1.63379,1.63453,7503.02998101711
2019-08-02,18:00:00,1.63455,1.63536,1.63384,1.63504,8477.29997479916
2019-08-02,19:00:00,1.63504,1.63536,1.63368,1.63452,9817.55996835232
2019-08-02,20:00:00,1.63452,1.63457,1.63307,1.63316,1945.6899985075
2019-08-04,21:00:00,1.63369,1.63529,1.63369,1.63453,1881.15000069141
2019-08-04,22:00:00,1.63466,1.6357,1.63447,1.63526,3116.19999539852
2019-08-04,23:00:00,1.63531,1.63569,1.63472,1.63569,2335.50999724865
2019-08-05,00:00:00,1.63572,1.6377,1.63553,1.63628,7767.42998683453
2019-08-05,01:00:00,1.63628,1.6484,1.63529,1.64156,15097.1399765015
2019-08-05,02:00:00,1.64158,1.64688,1.64051,1.64196,12603.8199814558
2019-08-05,03:00:00,1.64196,1.64208,1.6396,1.63996,6031.39999508858
2019-08-05,04:00:00,1.63997,1.64171,1.63965,1.64089,4297.35998773575
2019-08-05,05:00:00,1.64089,1.64401,1.6407,1.64376,5048.0699903965
2019-08-05,06:00:00,1.64374,1.64427,1.64157,1.64182,10912.199955821
2019-08-05,07:00:00,1.64182,1.64646,1.6412,1.64584,13337.0499479771
2019-08-05,08:00:00,1.64587,1.64993,1.64566,1.64988,10262.1499581337
2019-08-05,09:00:00,1.6499,1.65094,1.64876,1.6494,11647.7799412012
2019-08-05,10:00:00,1.6494,1.65119,1.64816,1.65119,8774.21995663643
2019-08-05,11:00:00,1.6512,1.65216,1.65012,1.65172,11038.3499631882
2019-08-05,12:00:00,1.65172,1.65307,1.65109,1.65164,8435.00997614861
2019-08-05,13:00:00,1.65164,1.65182,1.64963,1.64964,10872.7599719763
2019-08-05,14:00:00,1.64962,1.6521,1.64956,1.6508,14263.5199639797
2019-08-05,15:00:00,1.65079,1.6516,1.64939,1.65148,11368.9399889708
2019-08-05,16:00:00,1.65146,1.65437,1.65068,1.65427,11383.4399753809
2019-08-05,17:00:00,1.65426,1.65487,1.65306,1.65454,8031.21997749805
2019-08-05,18:00:00,1.65454,1.65751,1.65429,1.65736,8124.50999200344
2019-08-05,19:00:00,1.65745,1.65745,1.65399,1.65485,13695.179979682
2019-08-05,20:00:00,1.65484,1.65785,1.6547,1.65765,2720.97999727726
2019-08-05,21:00:00,1.65755,1.66039,1.65651,1.66012,2771.15999853611
2019-08-05,22:00:00,1.66012,1.66158,1.65753,1.6592,5171.41999380291
2019-08-05,23:00:00,1.65919,1.6624,1.65863,1.66225,6195.87998378277
2019-08-06,00:00:00,1.66223,1.66257,1.65859,1.66069,9095.45997560024
2019-08-06,01:00:00,1.66069,1.66074,1.65417,1.65539,13948.1599683762
2019-08-06,02:00:00,1.6554,1.65749,1.65377,1.65391,7792.30998516083
2019-08-06,03:00:00,1.65396,1.65683,1.65037,1.6511,6476.78998124599
2019-08-06,04:00:00,1.6511,1.65357,1.64806,1.65317,13127.2799730301
