Local time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000 GMT+0700,109.702,109.726,109.673,109.701,1545.6
01.01.2019 00:15:00.000 GMT+0700,109.701,109.720,109.671,109.703,1805
01.01.2019 00:30:00.000 GMT+0700,109.702,109.718,109.671,109.703,1666.8499999999997
01.01.2019 00:45:00.000 GMT+0700,109.702,109.714,109.651,109.656,1816.15
01.01.2019 01:00:00.000 GMT+0700,109.657,109.693,109.634,109.642,1876.4699999999998
01.01.2019 01:15:00.000 GMT+0700,109.642,109.696,109.642,109.690,1241.5500000000002
01.01.2019 01:30:00.000 GMT+0700,109.690,109.725,109.673,109.700,1205.01
01.01.2019 01:45:00.000 GMT+0700,109.700,109.715,109.674,109.685,854.9799999999999
01.01.2019 02:00:00.000 GMT+0700,109.684,109.694,109.642,109.661,1369.46
01.01.2019 02:15:00.000 GMT+0700,109.664,109.671,109.620,109.620,1119.29
01.01.2019 02:30:00.000 GMT+0700,109.618,109.633,109.612,109.628,459.55000000000007
01.01.2019 02:45:00.000 GMT+0700,109.629,109.663,109.597,109.604,478.07
01.01.2019 03:00:00.000 GMT+0700,109.602,109.606,109.556,109.583,1003.69
01.01.2019 03:15:00.000 GMT+0700,109.583,109.614,109.571,109.591,1293.0900000000001
01.01.2019 03:30:00.000 GMT+0700,109.591,109.603,109.587,109.588,451.02000000000004
01.01.2019 03:45:00.000 GMT+0700,109.588,109.617,109.578,109.610,1103.3999999999999
01.01.2019 04:00:00.000 GMT+0700,109.605,109.613,109.571,109.592,968.15
01.01.2019 04:15:00.000 GMT+0700,109.592,109.598,109.566,109.566,516.8
01.01.2019 04:30:00.000 GMT+0700,109.567,109.594,109.564,109.585,674.7900000000001
01.01.2019 04:45:00.000 GMT+0700,109.585,109.604,109.554,109.556,374.0400000000001
01.01.2019 05:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 05:15:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 05:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 05:45:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 06:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 06:15:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 06:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 06:45:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:15:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:45:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 08:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 08:15:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 08:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 08:45:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:15:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:45:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 10:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 10:15:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 10:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
