Local time,Open,High,Low,Close,Volume
31.12.2018 23:00:00.000 GMT+0700,109.776,109.820,109.651,109.656,19343.569799999997
01.01.2019 01:00:00.000 GMT+0700,109.657,109.725,109.597,109.604,8604.3799
01.01.2019 03:00:00.000 GMT+0700,109.602,109.617,109.554,109.556,6384.98
01.01.2019 05:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 11:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 13:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 15:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 17:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 19:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 21:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 23:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 01:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 03:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 05:00:00.000 GMT+0700,109.648,109.726,109.606,109.670,13625.0303
02.01.2019 07:00:00.000 GMT+0700,109.669,109.680,109.542,109.597,15139.2798
02.01.2019 09:00:00.000 GMT+0700,109.597,109.611,109.336,109.420,16291.3305
02.01.2019 11:00:00.000 GMT+0700,109.420,109.429,109.297,109.303,13227.4502
02.01.2019 13:00:00.000 GMT+0700,109.302,109.346,109.126,109.308,15255.21
02.01.2019 15:00:00.000 GMT+0700,109.308,109.323,108.707,108.941,36658.0293
02.01.2019 17:00:00.000 GMT+0700,108.942,109.176,108.879,109.107,26598.810599999997
02.01.2019 19:00:00.000 GMT+0700,109.104,109.285,108.820,109.188,28017.0401
02.01.2019 21:00:00.000 GMT+0700,109.187,109.392,109.175,109.283,34635.279299999995
02.01.2019 23:00:00.000 GMT+0700,109.282,109.464,109.213,109.442,23442.1797
03.01.2019 01:00:00.000 GMT+0700,109.442,109.455,109.181,109.196,15005.030299999999
03.01.2019 03:00:00.000 GMT+0700,109.196,109.201,108.867,108.874,16179.1201
03.01.2019 05:00:00.000 GMT+0700,108.872,108.898,104.736,107.427,32839.0098
03.01.2019 07:00:00.000 GMT+0700,107.433,107.854,107.427,107.535,24970.429600000003
03.01.2019 09:00:00.000 GMT+0700,107.534,107.549,107.022,107.156,18522.1401
03.01.2019 11:00:00.000 GMT+0700,107.157,107.284,106.746,106.967,16330.6402
03.01.2019 13:00:00.000 GMT+0700,106.968,107.672,106.797,107.551,33949.8594
03.01.2019 15:00:00.000 GMT+0700,107.552,107.958,107.428,107.657,28907.2598
03.01.2019 17:00:00.000 GMT+0700,107.658,107.683,107.505,107.549,17571.29
03.01.2019 19:00:00.000 GMT+0700,107.550,107.999,107.523,107.747,24972.6407
03.01.2019 21:00:00.000 GMT+0700,107.746,107.966,107.104,107.541,49890.2305
03.01.2019 23:00:00.000 GMT+0700,107.546,108.304,107.495,108.024,44306.4297
04.01.2019 01:00:00.000 GMT+0700,108.024,108.028,107.724,107.733,27970.720699999998
04.01.2019 03:00:00.000 GMT+0700,107.733,107.776,107.393,107.646,19801.9795
04.01.2019 05:00:00.000 GMT+0700,107.646,107.969,107.631,107.849,18142.8999
04.01.2019 07:00:00.000 GMT+0700,107.848,107.949,107.512,107.840,35146.3984
04.01.2019 09:00:00.000 GMT+0700,107.839,108.445,107.805,108.329,24412.629800000002
04.01.2019 11:00:00.000 GMT+0700,108.328,108.433,108.210,108.252,12776.349600000001
04.01.2019 13:00:00.000 GMT+0700,108.253,108.282,107.821,107.851,20058.19
04.01.2019 15:00:00.000 GMT+0700,107.848,108.043,107.825,108.031,28569.6386
04.01.2019 17:00:00.000 GMT+0700,108.032,108.062,107.928,107.988,17844.6201
04.01.2019 19:00:00.000 GMT+0700,107.988,108.452,107.960,108.300,27952.6299
04.01.2019 21:00:00.000 GMT+0700,108.300,108.589,108.104,108.110,53590.9102
04.01.2019 23:00:00.000 GMT+0700,108.109,108.572,108.064,108.449,32184.519500000002
05.01.2019 01:00:00.000 GMT+0700,108.449,108.586,108.352,108.514,23266.5693
05.01.2019 03:00:00.000 GMT+0700,108.514,108.554,108.428,108.518,10564.71
07.01.2019 05:00:00.000 GMT+0700,108.503,108.622,108.352,108.550,10218.910100000001
07.01.2019 07:00:00.000 GMT+0700,108.550,108.604,108.321,108.369,23551.2198
07.01.2019 09:00:00.000 GMT+0700,108.371,108.391,108.068,108.137,16109.7598
07.01.2019 11:00:00.000 GMT+0700,108.135,108.313,108.019,108.191,14194.430100000001
07.01.2019 13:00:00.000 GMT+0700,108.193,108.273,108.091,108.187,17670.6597
07.01.2019 15:00:00.000 GMT+0700,108.187,108.262,108.067,108.196,17186.1099
07.01.2019 17:00:00.000 GMT+0700,108.196,108.404,108.146,108.356,13638.8701
07.01.2019 19:00:00.000 GMT+0700,108.355,108.407,108.211,108.354,16948.5303
07.01.2019 21:00:00.000 GMT+0700,108.354,108.544,108.208,108.435,39947.209
07.01.2019 23:00:00.000 GMT+0700,108.435,108.647,108.423,108.604,24047.8301
08.01.2019 01:00:00.000 GMT+0700,108.606,108.676,108.515,108.596,19366.25
08.01.2019 03:00:00.000 GMT+0700,108.595,108.747,108.591,108.705,8815.5901
08.01.2019 05:00:00.000 GMT+0700,108.702,108.707,108.594,108.626,7156.1999
08.01.2019 07:00:00.000 GMT+0700,108.627,108.773,108.512,108.560,20633.3398
08.01.2019 09:00:00.000 GMT+0700,108.559,108.917,108.527,108.878,17037.46
08.01.2019 11:00:00.000 GMT+0700,108.878,108.997,108.780,108.785,14675.04
08.01.2019 13:00:00.000 GMT+0700,108.784,109.087,108.736,108.981,17985.3901
08.01.2019 15:00:00.000 GMT+0700,108.979,109.018,108.805,108.872,18967.679600000003
08.01.2019 17:00:00.000 GMT+0700,108.875,108.902,108.674,108.726,15489.5903
08.01.2019 19:00:00.000 GMT+0700,108.726,108.880,108.601,108.872,21092.6098
08.01.2019 21:00:00.000 GMT+0700,108.873,108.960,108.596,108.617,31782.6504
08.01.2019 23:00:00.000 GMT+0700,108.618,108.670,108.441,108.589,25556.2803
09.01.2019 01:00:00.000 GMT+0700,108.588,108.683,108.561,108.649,16926.9204
09.01.2019 03:00:00.000 GMT+0700,108.648,108.833,108.622,108.723,8603.219799999999
09.01.2019 05:00:00.000 GMT+0700,108.727,108.858,108.689,108.751,10309.1101
09.01.2019 07:00:00.000 GMT+0700,108.752,108.846,108.681,108.790,19792.9004
09.01.2019 09:00:00.000 GMT+0700,108.790,109.001,108.776,108.898,15970.120200000001
09.01.2019 11:00:00.000 GMT+0700,108.900,108.944,108.819,108.854,10609
09.01.2019 13:00:00.000 GMT+0700,108.853,108.990,108.815,108.914,13450.199700000001
09.01.2019 15:00:00.000 GMT+0700,108.914,108.965,108.790,108.906,15812.530299999999
09.01.2019 17:00:00.000 GMT+0700,108.907,108.942,108.841,108.912,12909.1401
09.01.2019 19:00:00.000 GMT+0700,108.911,108.941,108.724,108.748,17046.48
09.01.2019 21:00:00.000 GMT+0700,108.748,108.754,108.050,108.188,40723.4492
09.01.2019 23:00:00.000 GMT+0700,108.187,108.417,108.174,108.316,22372.649400000002
10.01.2019 01:00:00.000 GMT+0700,108.317,108.365,108.031,108.278,27985.3403
10.01.2019 03:00:00.000 GMT+0700,108.278,108.315,107.971,108.158,14995.4094
10.01.2019 05:00:00.000 GMT+0700,108.158,108.231,108.100,108.185,10466.3696
10.01.2019 07:00:00.000 GMT+0700,108.184,108.257,107.843,107.972,34675.3603
10.01.2019 09:00:00.000 GMT+0700,107.971,108.000,107.859,107.874,19136.9004
10.01.2019 11:00:00.000 GMT+0700,107.873,107.984,107.819,107.909,11441.9697
10.01.2019 13:00:00.000 GMT+0700,107.909,107.952,107.769,107.921,16291.27
10.01.2019 15:00:00.000 GMT+0700,107.921,108.148,107.823,108.093,20623.9795
10.01.2019 17:00:00.000 GMT+0700,108.093,108.227,107.963,108.030,13908.8603
10.01.2019 19:00:00.000 GMT+0700,108.033,108.198,108.031,108.191,16828.42
10.01.2019 21:00:00.000 GMT+0700,108.191,108.225,107.919,108.202,32454.689400000003
10.01.2019 23:00:00.000 GMT+0700,108.201,108.434,108.191,108.392,25379.6601
11.01.2019 01:00:00.000 GMT+0700,108.392,108.459,108.203,108.417,26166.3496
11.01.2019 03:00:00.000 GMT+0700,108.416,108.518,108.404,108.425,8861.4301
11.01.2019 05:00:00.000 GMT+0700,108.425,108.456,108.282,108.282,11273.6402
11.01.2019 07:00:00.000 GMT+0700,108.284,108.473,108.272,108.390,21316.9199
11.01.2019 09:00:00.000 GMT+0700,108.394,108.401,108.250,108.296,12940.180199999999
11.01.2019 11:00:00.000 GMT+0700,108.297,108.347,108.230,108.298,10060.2402
11.01.2019 13:00:00.000 GMT+0700,108.298,108.432,108.267,108.329,12043.189900000001
11.01.2019 15:00:00.000 GMT+0700,108.331,108.353,108.232,108.334,15512.9502
11.01.2019 17:00:00.000 GMT+0700,108.334,108.353,108.244,108.310,15798.1797
11.01.2019 19:00:00.000 GMT+0700,108.308,108.363,108.145,108.203,17711.04
11.01.2019 21:00:00.000 GMT+0700,108.201,108.597,108.188,108.405,35157.1201
11.01.2019 23:00:00.000 GMT+0700,108.405,108.444,108.303,108.406,17299.5899
12.01.2019 01:00:00.000 GMT+0700,108.405,108.505,108.376,108.493,8332.3999
12.01.2019 03:00:00.000 GMT+0700,108.492,108.572,108.490,108.528,6582.47
14.01.2019 05:00:00.000 GMT+0700,108.499,108.555,108.395,108.451,6325.8099
14.01.2019 07:00:00.000 GMT+0700,108.451,108.481,108.167,108.204,10193.4399
14.01.2019 09:00:00.000 GMT+0700,108.205,108.260,108.060,108.152,9956.9502
14.01.2019 11:00:00.000 GMT+0700,108.152,108.155,108.081,108.107,5055.0797999999995
14.01.2019 13:00:00.000 GMT+0700,108.108,108.182,108.043,108.091,11923.939999999999
14.01.2019 15:00:00.000 GMT+0700,108.092,108.222,108.087,108.145,12775.1001
14.01.2019 17:00:00.000 GMT+0700,108.144,108.163,107.986,108.093,16360.6099
14.01.2019 19:00:00.000 GMT+0700,108.095,108.239,108.042,108.195,16287.1797
14.01.2019 21:00:00.000 GMT+0700,108.195,108.355,108.075,108.321,25490.8194
14.01.2019 23:00:00.000 GMT+0700,108.321,108.352,108.157,108.185,15371.25
15.01.2019 01:00:00.000 GMT+0700,108.184,108.260,108.159,108.201,9198.779999999999
15.01.2019 03:00:00.000 GMT+0700,108.201,108.241,108.149,108.157,4902.079900000001
15.01.2019 05:00:00.000 GMT+0700,108.154,108.257,108.134,108.237,12959.4502
15.01.2019 07:00:00.000 GMT+0700,108.236,108.469,108.196,108.409,21261.96
15.01.2019 09:00:00.000 GMT+0700,108.409,108.558,108.398,108.553,14478.6001
15.01.2019 11:00:00.000 GMT+0700,108.553,108.753,108.513,108.714,11367.329600000001
15.01.2019 13:00:00.000 GMT+0700,108.715,108.737,108.598,108.650,11209.930199999999
15.01.2019 15:00:00.000 GMT+0700,108.649,108.697,108.515,108.564,18712.620199999998
15.01.2019 17:00:00.000 GMT+0700,108.563,108.651,108.343,108.379,17309.4795
15.01.2019 19:00:00.000 GMT+0700,108.378,108.584,108.329,108.360,25678.6103
15.01.2019 21:00:00.000 GMT+0700,108.359,108.590,108.351,108.511,31144.58
15.01.2019 23:00:00.000 GMT+0700,108.512,108.765,108.498,108.620,23717.759700000002
