Gmt time,Open,High,Low,Close,Volume
06.01.2020 07:10:00.000,130.852,130.855,130.788,130.816,682.85
06.01.2020 07:15:00.000,130.814,130.821,130.770,130.772,11.103.300.000.000.000
06.01.2020 07:20:00.000,130.771,130.854,130.770,130.854,1000.11
06.01.2020 07:25:00.000,130.854,130.942,130.846,130.891,1117.75
06.01.2020 07:30:00.000,130.890,130.902,130.805,130.826,1232
06.01.2020 07:35:00.000,130.826,130.849,130.789,130.826,10.080.699.999.999.900
06.01.2020 07:40:00.000,130.826,130.853,130.802,130.825,788.18
06.01.2020 07:45:00.000,130.826,130.852,130.787,130.789,5.966.599.999.999.990
06.01.2020 07:50:00.000,130.788,130.802,130.755,130.760,859.66
06.01.2020 07:55:00.000,130.759,130.770,130.698,130.730,1738.45
06.01.2020 08:00:00.000,130.729,130.826,130.729,130.780,19.675.099.999.999.900
06.01.2020 08:05:00.000,130.779,130.829,130.722,130.759,10.070.699.999.999.900
06.01.2020 08:10:00.000,130.759,130.768,130.658,130.668,876.51
06.01.2020 08:15:00.000,130.668,130.767,130.638,130.758,1407.97
06.01.2020 08:20:00.000,130.758,130.767,130.709,130.729,841.92
06.01.2020 08:25:00.000,130.729,130.746,130.700,130.745,652.96
06.01.2020 08:30:00.000,130.745,130.762,130.703,130.761,693.52
06.01.2020 08:35:00.000,130.761,130.832,130.749,130.800,720.96
06.01.2020 08:40:00.000,130.801,130.825,130.792,130.810,662.9
06.01.2020 08:45:00.000,130.807,130.894,130.801,130.890,912.9
06.01.2020 08:50:00.000,130.891,131.004,130.851,130.959,11.921.100.000.000.000
06.01.2020 08:55:00.000,130.960,131.084,130.942,131.053,15.060.099.999.999.900
06.01.2020 09:00:00.000,131.055,131.158,131.034,131.119,14.625.199.999.999.900
06.01.2020 09:05:00.000,131.116,131.129,131.029,131.091,12.010.700.000.000.000
06.01.2020 09:10:00.000,131.092,131.210,131.085,131.210,938.22
06.01.2020 09:15:00.000,131.208,131.232,131.141,131.190,1087.98
06.01.2020 09:20:00.000,131.195,131.270,131.180,131.200,896.59
06.01.2020 09:25:00.000,131.200,131.242,131.162,131.234,924.85
06.01.2020 09:30:00.000,131.234,131.286,131.130,131.275,1647.4
06.01.2020 09:35:00.000,131.276,131.446,131.273,131.400,1975.63
06.01.2020 09:40:00.000,131.400,131.458,131.381,131.439,1551.56
06.01.2020 09:45:00.000,131.438,131.482,131.423,131.433,1137.47
06.01.2020 09:50:00.000,131.433,131.433,131.344,131.389,1109.96
06.01.2020 09:55:00.000,131.389,131.449,131.375,131.429,1174.28
06.01.2020 10:00:00.000,131.432,131.476,131.412,131.444,1529.95
06.01.2020 10:05:00.000,131.442,131.476,131.374,131.388,1072.53
06.01.2020 10:10:00.000,131.388,131.563,131.388,131.550,10.406.999.999.999.900
06.01.2020 10:15:00.000,131.554,131.633,131.490,131.596,19.176.799.999.999.900
06.01.2020 10:20:00.000,131.596,131.651,131.582,131.645,15.918.899.999.999.900
06.01.2020 10:25:00.000,131.647,131.666,131.584,131.586,847.27
06.01.2020 10:30:00.000,131.587,131.635,131.528,131.533,880.74
06.01.2020 10:35:00.000,131.532,131.701,131.528,131.698,1037.27
06.01.2020 10:40:00.000,131.699,131.730,131.637,131.637,1370.03
06.01.2020 10:45:00.000,131.638,131.682,131.615,131.626,787.72
06.01.2020 10:50:00.000,131.626,131.638,131.577,131.578,686.6
06.01.2020 10:55:00.000,131.577,131.599,131.513,131.520,764.16
06.01.2020 11:00:00.000,131.526,131.631,131.514,131.622,743.46
06.01.2020 11:05:00.000,131.623,131.711,131.608,131.686,810.28
06.01.2020 11:10:00.000,131.685,131.730,131.592,131.596,8.856.700.000.000.000
06.01.2020 11:15:00.000,131.593,131.629,131.555,131.556,6.178.499.999.999.990
06.01.2020 11:20:00.000,131.556,131.643,131.549,131.603,9.029.499.999.999.990
06.01.2020 11:25:00.000,131.604,131.652,131.601,131.648,778.39
06.01.2020 11:30:00.000,131.650,131.743,131.643,131.663,7.646.800.000.000.000
06.01.2020 11:35:00.000,131.663,131.676,131.569,131.575,809.11
06.01.2020 11:40:00.000,131.581,131.602,131.544,131.560,665.63
06.01.2020 11:45:00.000,131.560,131.568,131.506,131.543,566.85
06.01.2020 11:50:00.000,131.544,131.585,131.531,131.584,5.493.800.000.000.000
06.01.2020 11:55:00.000,131.584,131.596,131.534,131.564,474.21
06.01.2020 12:00:00.000,131.566,131.566,131.462,131.472,8.404.599.999.999.990
06.01.2020 12:05:00.000,131.473,131.495,131.443,131.474,7.605.699.999.999.990
06.01.2020 12:10:00.000,131.472,131.530,131.444,131.525,45.646.999.999.999.900
06.01.2020 12:15:00.000,131.522,131.544,131.506,131.525,597.5
06.01.2020 12:20:00.000,131.524,131.566,131.502,131.509,6.898.199.999.999.990
06.01.2020 12:25:00.000,131.509,131.509,131.437,131.460,633.77
06.01.2020 12:30:00.000,131.462,131.486,131.434,131.456,574.52
06.01.2020 12:35:00.000,131.456,131.503,131.447,131.467,723.48
06.01.2020 12:40:00.000,131.468,131.492,131.434,131.490,45.054.999.999.999.900
06.01.2020 12:45:00.000,131.489,131.513,131.462,131.511,42.725.000.000.000.000
06.01.2020 12:50:00.000,131.512,131.554,131.432,131.432,6.208.399.999.999.990
06.01.2020 12:55:00.000,131.432,131.485,131.382,131.382,683.72
06.01.2020 13:00:00.000,131.388,131.472,131.372,131.422,648.55
06.01.2020 13:05:00.000,131.422,131.453,131.363,131.371,5.967.900.000.000.000
06.01.2020 13:10:00.000,131.371,131.412,131.343,131.353,572.89
06.01.2020 13:15:00.000,131.354,131.412,131.343,131.400,716.08
06.01.2020 13:20:00.000,131.399,131.422,131.358,131.413,553.3
06.01.2020 13:25:00.000,131.413,131.434,131.393,131.406,4.909.699.999.999.990
06.01.2020 13:30:00.000,131.406,131.417,131.364,131.393,596.55
06.01.2020 13:35:00.000,131.393,131.473,131.391,131.430,43.584.999.999.999.900
06.01.2020 13:40:00.000,131.428,131.485,131.424,131.438,49.515.999.999.999.900
06.01.2020 13:45:00.000,131.438,131.440,131.372,131.405,358.34
06.01.2020 13:50:00.000,131.408,131.436,131.404,131.427,389.27
06.01.2020 13:55:00.000,131.426,131.436,131.392,131.403,36.532.000.000.000.000
06.01.2020 14:00:00.000,131.403,131.420,131.330,131.344,715.13
06.01.2020 14:05:00.000,131.344,131.426,131.343,131.390,546.48
06.01.2020 14:10:00.000,131.391,131.426,131.389,131.426,26.203.999.999.999.900
06.01.2020 14:15:00.000,131.426,131.435,131.400,131.422,372.86
06.01.2020 14:20:00.000,131.423,131.446,131.391,131.444,492.42
06.01.2020 14:25:00.000,131.444,131.486,131.427,131.473,8.770.500.000.000.000
06.01.2020 14:30:00.000,131.473,131.609,131.473,131.555,1827.7
06.01.2020 14:35:00.000,131.555,131.559,131.485,131.494,918.08
06.01.2020 14:40:00.000,131.493,131.493,131.447,131.468,9.180.799.999.999.990
06.01.2020 14:45:00.000,131.468,131.484,131.409,131.418,823.16
06.01.2020 14:50:00.000,131.420,131.432,131.406,131.421,732.43
06.01.2020 14:55:00.000,131.421,131.425,131.353,131.363,8.367.499.999.999.990
06.01.2020 15:00:00.000,131.362,131.403,131.333,131.374,773.31
06.01.2020 15:05:00.000,131.374,131.450,131.374,131.426,632.7
06.01.2020 15:10:00.000,131.427,131.467,131.387,131.452,619.9
06.01.2020 15:15:00.000,131.452,131.500,131.436,131.479,652.02
