Local time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000 GMT+0700,109.702,109.726,109.651,109.656,6833.6001
01.01.2019 01:00:00.000 GMT+0700,109.657,109.725,109.634,109.685,5178.0098
01.01.2019 02:00:00.000 GMT+0700,109.684,109.694,109.597,109.604,3426.3701
01.01.2019 03:00:00.000 GMT+0700,109.602,109.617,109.556,109.610,3851.2
01.01.2019 04:00:00.000 GMT+0700,109.605,109.613,109.554,109.556,2533.78
01.01.2019 05:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 06:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 08:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 10:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 11:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 12:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 13:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 14:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 15:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 16:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 17:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 18:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 19:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 20:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 21:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 22:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 23:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 00:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 01:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 02:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 03:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 04:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 05:00:00.000 GMT+0700,109.648,109.698,109.606,109.677,8801.1504
02.01.2019 06:00:00.000 GMT+0700,109.676,109.726,109.646,109.670,4823.8799
02.01.2019 07:00:00.000 GMT+0700,109.669,109.680,109.542,109.625,7498.7998
02.01.2019 08:00:00.000 GMT+0700,109.625,109.674,109.582,109.597,7640.48
02.01.2019 09:00:00.000 GMT+0700,109.597,109.611,109.336,109.412,10524.4404
02.01.2019 10:00:00.000 GMT+0700,109.411,109.426,109.343,109.420,5766.8901
02.01.2019 11:00:00.000 GMT+0700,109.420,109.429,109.342,109.387,6559.6802
02.01.2019 12:00:00.000 GMT+0700,109.387,109.423,109.297,109.303,6667.77
02.01.2019 13:00:00.000 GMT+0700,109.302,109.302,109.126,109.256,5382.5498
02.01.2019 14:00:00.000 GMT+0700,109.256,109.346,109.181,109.308,9872.6602
02.01.2019 15:00:00.000 GMT+0700,109.308,109.323,108.902,108.950,20474.2598
02.01.2019 16:00:00.000 GMT+0700,108.949,108.977,108.707,108.941,16183.7695
02.01.2019 17:00:00.000 GMT+0700,108.942,109.102,108.879,109.045,13739.5801
02.01.2019 18:00:00.000 GMT+0700,109.045,109.176,109.043,109.107,12859.2305
02.01.2019 19:00:00.000 GMT+0700,109.104,109.285,109.101,109.142,12204.0098
02.01.2019 20:00:00.000 GMT+0700,109.141,109.194,108.820,109.188,15813.0303
02.01.2019 21:00:00.000 GMT+0700,109.187,109.359,109.175,109.337,17578.75
02.01.2019 22:00:00.000 GMT+0700,109.337,109.392,109.266,109.283,17056.5293
02.01.2019 23:00:00.000 GMT+0700,109.282,109.356,109.213,109.219,11731.0596
03.01.2019 00:00:00.000 GMT+0700,109.220,109.464,109.219,109.442,11711.1201
03.01.2019 01:00:00.000 GMT+0700,109.442,109.455,109.379,109.448,7267.9702
03.01.2019 02:00:00.000 GMT+0700,109.449,109.449,109.181,109.196,7737.0601
03.01.2019 03:00:00.000 GMT+0700,109.196,109.201,109.037,109.081,11486.75
03.01.2019 04:00:00.000 GMT+0700,109.082,109.121,108.867,108.874,4692.3701
03.01.2019 05:00:00.000 GMT+0700,108.872,108.898,104.736,106.700,12498.6797
03.01.2019 06:00:00.000 GMT+0700,106.700,107.871,106.498,107.427,20340.3301
03.01.2019 07:00:00.000 GMT+0700,107.433,107.854,107.427,107.642,10814.79
03.01.2019 08:00:00.000 GMT+0700,107.643,107.802,107.431,107.535,14155.6396
03.01.2019 09:00:00.000 GMT+0700,107.534,107.549,107.073,107.134,10493.9902
03.01.2019 10:00:00.000 GMT+0700,107.134,107.204,107.022,107.156,8028.1499
03.01.2019 11:00:00.000 GMT+0700,107.157,107.284,107.151,107.152,6420.2798
03.01.2019 12:00:00.000 GMT+0700,107.153,107.161,106.746,106.967,9910.3604
03.01.2019 13:00:00.000 GMT+0700,106.968,106.976,106.797,106.849,10043.75
03.01.2019 14:00:00.000 GMT+0700,106.849,107.672,106.849,107.551,23906.1094
03.01.2019 15:00:00.000 GMT+0700,107.552,107.958,107.428,107.643,18566.0098
03.01.2019 16:00:00.000 GMT+0700,107.644,107.846,107.644,107.657,10341.25
03.01.2019 17:00:00.000 GMT+0700,107.658,107.683,107.505,107.639,9539.75
03.01.2019 18:00:00.000 GMT+0700,107.639,107.679,107.513,107.549,8031.54
